division,latitude,longitude
{Les Valls} Teià; Barcelona; Cataluña,41.4964205,2.3218228
{El Pla} Òdena; Barcelona; Cataluña,41.6196377,1.627507
{El Bruguer} Sant Pere de Vilamajor; Barcelona; Cataluña,41.688202,2.3644119
{El Bruguer} Sant Pere de Vilamajor; Barcelona; Cataluña,41.688202,2.3644119
{Pueblo Salinas} Vera; Almería; Andalucía,37.2317886,-1.8165487
"{Huerta Alhárabe} Moratalla; Murcia; Murcia, Región de",38.1966652,-2.1181353
{Valle del Este} Vera; Almería; Andalucía,37.2020416,-1.8929822
{Sector R-7} Bétera; València/Valencia; Comunitat Valenciana,39.4969096,-0.418677
{Sector I} Alcanar; Tarragona; Cataluña,40.5969032,0.5653458
{Barrio Antonio Afonso} Santa Úrsula; Santa Cruz de Tenerife; Canarias,28.4594943,-16.25732
"{San Juan} Moratalla; Murcia; Murcia, Región de",38.1893185,-1.891609
{La Data} Las Palmas de Gran Canaria; Las Palmas; Canarias,28.1147315,-15.4210657
{Sector J} Alcanar; Tarragona; Cataluña,40.5430417,0.4767391
{Sector H} Alcanar; Tarragona; Cataluña,40.54184619999999,0.4826954
{Can Vinyers} Matadepera; Barcelona; Cataluña,41.5991935,2.0315728
{Can Vinyers} Matadepera; Barcelona; Cataluña,41.5991935,2.0315728
{Xubia (Nosa Señora dos Desamparados)} Narón; A Coruña; Galicia,43.5012892,-8.192374299999999
{Xubia (Nosa Señora dos Desamparados)} Narón; A Coruña; Galicia,43.5012892,-8.192374299999999
{Sector R-6} Bétera; València/Valencia; Comunitat Valenciana,39.4971049,-0.4187948
{Xubia (San Martiño)} Narón; A Coruña; Galicia,43.4979849,-8.1741552
{Veinat de l'Estacio} Llambilles; Girona; Cataluña,41.8961393,2.810965
{A Gulpilleira} O Porriño; Pontevedra; Galicia,42.1595707,-8.611177699999999
{Urbanizacion Torre del Pinar} Zaragoza; Zaragoza; Aragón,41.692245,-1.0171076
{Venta Mateo} Arboleas; Almería; Andalucía,37.3512948,-2.0862564
{Primera del Riu} Morella; Castelló/Castellón; Comunitat Valenciana,40.6181387,-0.1015492
{Mas Bohera} Palau-saverdera; Girona; Cataluña,42.30867509999999,3.1473445
{Malpaís de Triana} Los Llanos de Aridane; Santa Cruz de Tenerife; Canarias,28.6463805,-17.9081565
{Brimz} Córdoba; Córdoba; Andalucía,37.8849381,-4.7775874
{Bungalows de Tajuya} Los Llanos de Aridane; Santa Cruz de Tenerife; Canarias,28.6378974,-17.8980112
"{El Llano} Caravaca de la Cruz; Murcia; Murcia, Región de",38.095408,-1.890441
{Les Rouredes} Castellvell del Camp; Tarragona; Cataluña,41.187811,1.0897511
{Vides} Mos; Pontevedra; Galicia,42.1664271,-8.6368341
{La Candelaria} Icod de los Vinos; Santa Cruz de Tenerife; Canarias,28.3671432,-16.7137571
{Sector G} Alcanar; Tarragona; Cataluña,40.5431062,0.4817141
{Falda Monti} Tales; Castelló/Castellón; Comunitat Valenciana,39.9497621,-0.3060348
{Barrio de los Remedios} Cúllar Vega; Granada; Andalucía,37.1532821,-3.6705039
{Xubia (Santa Rita)} Narón; A Coruña; Galicia,43.515336,-8.1554513
"{La Quinta Florez} Siero; Asturias; Asturias, Principado de",43.3771143,-5.7734499
{El Cañillo} Barbate; Cádiz; Andalucía,36.1862124,-5.9190144
{Los Barriales} Tegueste; Santa Cruz de Tenerife; Canarias,28.5186,-16.3233
{Las Eras Bajas} Arico; Santa Cruz de Tenerife; Canarias,28.1926157,-16.4278883
{Novo Piñeiral} San Cibrao das Viñas; Ourense; Galicia,42.2948445,-7.872840300000001
{Reborido} Teo; A Coruña; Galicia,42.8394216,-8.5824149
{Abisinia} Valle Gran Rey; Santa Cruz de Tenerife; Canarias,28.0832893,-17.3347351
{Miralcampo} Chiva; València/Valencia; Comunitat Valenciana,39.4523609,-0.6080561
{Malladoura} O Porriño; Pontevedra; Galicia,42.1635809,-8.614947299999999
"{Residencial Espuña} Totana; Murcia; Murcia, Región de",37.7178769,-1.4150642
{Pla de la Torre} Olocau; València/Valencia; Comunitat Valenciana,39.6660929,-0.5178345999999999
{Veinat Carretera de Fornells} Llambilles; Girona; Cataluña,41.9205988,2.8588015
